# BUSCO version is: 5.2.2 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	scaffold_1	162595494	163110697	+	7107.7	4870
476at7742	Complete	scaffold_6	50221846	50393271	+	7850.3	4180
817at7742	Complete	scaffold_1	268183715	268407158	-	8119.5	3936
903at7742	Complete	scaffold_1	222377356	222431768	+	7497.3	3922
1034at7742	Complete	scaffold_6	921022	1179063	+	6787.5	3685
1270at7742	Complete	scaffold_14	13934580	14091145	+	7252.8	3784
1566at7742	Complete	scaffold_12	41528691	41797900	+	4185.8	2970
1653at7742	Complete	scaffold_5	194231708	194310995	+	6647.2	3295
1662at7742	Complete	scaffold_1	398860619	399389417	-	5761.3	2930
2066at7742	Complete	scaffold_5	213645166	213751725	+	5591.2	2985
2178at7742	Complete	scaffold_6	29097160	29134324	-	3646.5	2331
2461at7742	Complete	scaffold_3	307390432	307637288	-	5275.8	2576
2503at7742	Complete	scaffold_12	6940759	7096755	+	4827.3	2827
2845at7742	Complete	scaffold_8	38211954	38542851	+	2805.4	2427
3022at7742	Complete	scaffold_6	139802974	139891301	+	3854.0	2381
3190at7742	Complete	scaffold_4	190738192	190866429	+	3845.7	2209
3764at7742	Complete	scaffold_11	4419221	4466600	-	3732.0	2814
4106at7742	Complete	scaffold_6	214458	323016	-	4353.0	2157
4372at7742	Complete	scaffold_2	267062825	267165424	-	3578.8	2114
4443at7742	Complete	scaffold_14	8313724	8364064	+	3843.0	2180
4577at7742	Complete	scaffold_4	193097441	193129710	+	4971.6	2131
4900at7742	Complete	scaffold_4	89501008	89590209	-	2389.1	1778
5018at7742	Complete	scaffold_2	355268313	355359612	-	3135.5	1893
5095at7742	Complete	scaffold_6	16549946	16680452	+	4000.5	2130
5422at7742	Complete	scaffold_4	66274540	66370278	+	4221.8	2171
5465at7742	Complete	scaffold_4	173564768	173618575	+	2542.1	1539
5520at7742	Complete	scaffold_4	162093276	162189082	+	3748.6	2403
5604at7742	Complete	scaffold_8	67782779	67992540	+	2659.4	1907
5938at7742	Complete	scaffold_8	42977508	43083958	+	3489.0	2312
5981at7742	Complete	scaffold_5	12926566	13026971	-	3907.5	1976
6108at7742	Complete	scaffold_41	874831	932225	-	3631.3	1848
6126at7742	Complete	scaffold_5	110596841	110672917	+	3671.2	1967
6253at7742	Complete	scaffold_1	199927186	199981391	-	1666.7	1147
6305at7742	Complete	scaffold_2	123483508	123586781	+	4593.5	2338
6701at7742	Complete	scaffold_3	333211056	333598849	-	2907.1	1851
7000at7742	Complete	scaffold_5	164571803	164739102	+	2956.5	1752
7262at7742	Missing
7732at7742	Complete	scaffold_4	32655583	32733452	+	2315.7	1827
7768at7742	Complete	scaffold_9	43991770	44093457	-	2640.5	1433
8258at7742	Complete	scaffold_2	223871052	223894961	-	1335.5	1247
8409at7742	Complete	scaffold_4	193049023	193059900	-	2345.1	1481
8503at7742	Complete	scaffold_2	199347192	199423681	+	2837.5	1805
8757at7742	Complete	scaffold_3	226272843	226362758	+	3212.6	1625
8766at7742	Complete	scaffold_2	375603316	375698751	-	1504.2	1292
8874at7742	Complete	scaffold_12	6237704	6293388	+	2376.7	1720
8995at7742	Complete	scaffold_2	195805920	195850699	-	1798.2	1477
9110at7742	Complete	scaffold_3	297996782	298075163	+	2796.4	1644
9484at7742	Complete	scaffold_10	42838051	42927986	+	3375.8	2061
9579at7742	Complete	scaffold_2	146076222	146099439	+	2155.1	1670
9683at7742	Complete	scaffold_4	196302118	196340615	+	3227.1	1791
9744at7742	Complete	scaffold_1	429697389	429772685	+	2959.9	1766
10003at7742	Complete	scaffold_5	191790934	191806601	-	3087.7	1847
10136at7742	Complete	scaffold_2	378715809	379033755	+	1711.2	1045
10163at7742	Complete	scaffold_27	2630457	2672452	-	1427.4	1264
10485at7742	Complete	scaffold_17	5242988	5281039	-	1687.7	1446
10757at7742	Complete	scaffold_5	8794221	8826413	-	2376.1	1504
10899at7742	Complete	scaffold_22	2904543	2928193	-	1944.9	1330
11104at7742	Complete	scaffold_6	165831811	166010668	+	3106.0	1543
11195at7742	Complete	scaffold_1	245635577	246090146	+	2763.9	1545
