Sample,Filtered-Hits-S0,Filtered-Reads-S0,Rejected-Hits-S0,Rejected-Reads-S0,Ambiguous-Hits-S0,Ambiguous-Reads-S0,Filtered-Hits-S1,Filtered-Reads-S1,Rejected-Hits-S1,Rejected-Reads-S1,Ambiguous-Hits-S1,Ambiguous-Reads-S1,Filtered-Hits-S2,Filtered-Reads-S2,Rejected-Hits-S2,Rejected-Reads-S2,Ambiguous-Hits-S2,Ambiguous-Reads-S2
A5AML25_reads,58908,29454,61746686,27384804,547554,273777,37232960,18616480,64191194,21769931,622194,311097,80119936,40059968,71151594,26263096,540374,270187
A7NMCon_reads,97928312,48964156,89209596,35499909,1271816,635908,11421518,5710759,119614420,48422834,1271218,635609,105848,52924,46613638,16348400,985894,492947
A4AMCon_reads,41914,20957,64167192,28714272,580512,290256,40138026,20069013,64935512,22717697,645028,322514,79127416,39563708,70152630,26351136,559034,279517
A3MGL500_reads,16160,8080,42415750,19176767,463906,231953,42384506,21192253,40862096,13786556,463902,231951,650,325,15882172,5659167,378472,189236
A9NML500_reads,114873636,57436818,112304306,44413216,1588932,794466,16491458,8245729,169195068,59748253,1588106,794053,34020,17010,84245484,21525067,1219460,609730
A8NML25_reads,103790336,51895168,97633656,39009569,1376418,688209,15552716,7776358,129646012,51884264,1375714,687857,108278,54139,51209096,17664488,1066382,533191
A1MGCon_reads,17910,8955,42154808,19160404,496110,248055,42404704,21202352,36604898,13576307,496080,248040,2570,1285,14223076,5675062,405104,202552
A2MGL25_reads,16888,8444,44331476,20053136,475328,237664,44446068,22223034,40828388,14562898,475320,237660,616,308,14574492,5740542,386874,193437
A6AML500_reads,58974,29487,64331638,28681079,599070,299535,40627148,20313574,68874968,22836616,669294,334647,80996792,40498396,74535876,26829971,581012,290506
