Sample,Filtered-Hits-S0,Filtered-Reads-S0,Rejected-Hits-S0,Rejected-Reads-S0,Ambiguous-Hits-S0,Ambiguous-Reads-S0,Filtered-Hits-S1,Filtered-Reads-S1,Rejected-Hits-S1,Rejected-Reads-S1,Ambiguous-Hits-S1,Ambiguous-Reads-S1
M2D933_reads,1226030,613015,74313890,30752110,226554,113277,274816860,137408430,169586270,65064954,226554,113277
DND730_reads,222906,111453,72480474,30982356,245798,122899,281584182,140792091,171439582,64645784,245798,122899
DN19NM_reads,256814,128407,90408860,37062151,296184,148092,336377712,168188856,205653742,76912429,296184,148092
M21131_reads,15898,7949,74065962,31387374,250980,125490,287064242,143532121,170360404,64541593,250980,125490
M211NM_reads,121468,60734,78663002,33513754,249534,124767,303898020,151949010,182771058,68804643,249534,124767
M2D930_reads,2542,1271,66527868,28523343,226746,113373,263961112,131980556,157207548,59368449,226746,113373
DND713_reads,141788,70894,85562326,37333021,308272,154136,342457534,171228767,198382498,74611951,308272,154136
DN1914_reads,68676,34338,87784390,38391159,324476,162238,351602272,175801136,204852266,76656660,324476,162238
